iteration,r,predicted,var,actual
0,0.2731370419439647,-0.4178276971326283,0.5576794202784526,-0.9886015552521764
1,0.2731370419439647,-0.7880227039285594,0.18557138023927422,-0.5820482829542634
2,0.2731370419439647,-0.6214585014575379,0.17541130097473687,-0.5965935850265526
3,0.2731370419439647,-0.6090617521473745,0.1711261653972647,0.6780041788670059
4,0.2731370419439647,-0.010471935689710126,0.1673702187695722,-0.36761646176974005
5,0.2731370419439647,-0.3101989426638829,0.1656150302984547,0.057839558419411276
6,0.2731370419439647,-0.14137620076369234,0.16534499009465892,-0.44114357825846345
7,0.2731370419439647,-0.3068898378985292,0.16526504014073656,-0.274128961524011
8,0.2731370419439647,-0.26054862206392526,0.16520772187300223,-0.8475235345163612
9,0.2731370419439647,-0.5453000577087684,0.1651592803466033,0.4346460875273438
10,0.2731370419439647,-0.0367559753319625,0.16512163480288336,-0.1017119553120042
11,0.2731370419439647,-0.16119506068602643,0.16508787555131973,-0.11907142201976831
12,0.2731370419439647,-0.17809024982799632,0.16505524755290765,-0.08810843126094406
13,0.2731370419439647,-0.1547051693698517,0.16502307967231847,-0.7360240014573102
14,0.2731370419439647,-0.4264669379589245,0.16499120956487845,-0.3255969079678742
15,0.2731370419439647,-0.33213597110085935,0.16495957029336308,-0.8376602609376546
16,0.2731370419439647,-0.5645605471413254,0.16492800762287008,-0.12205406528213264
17,0.2731370419439647,-0.3134830836754885,0.16489642883825248,-0.39269140829897436
18,0.2731370419439647,-0.38743934113283146,0.16486805706112567,-0.16644407103204698
19,0.2731370419439647,-0.2876566826295227,0.1648421244785007,0.08771130773094882
20,0.2731370419439647,-0.13818932278011356,0.16481690234747268,0.315131897752361
21,0.2731370419439647,0.031711800515100495,0.16479047780889147,0.06817629391154677
22,0.2731370419439647,-0.017168034448309298,0.16477681045106668,0.6645426387170851
23,0.2731370419439647,0.27371605578073577,0.1647747344917606,0.5589473051219944
24,0.2731370419439647,0.326142147571462,0.16477429652787193,-0.4244162571148938
25,0.2731370419439647,-0.08902696190799124,0.16477409057251888,-0.2148474716437183
26,0.2731370419439647,-0.10395035791395647,0.16477396768457522,-0.11676189282523279
27,0.2731370419439647,-0.08011214804776041,0.1647739142178033,-0.7643600730423875
28,0.2731370419439647,-0.4059291443222577,0.16477389876615406,-0.5824079772121543
29,0.2731370419439647,-0.4414529861125779,0.16477389270359682,-0.7785180363043499
30,0.2731370419439647,-0.5581680055528159,0.16477388896718106,0.33021565281294374
31,0.2731370419439647,-0.09671949775710006,0.16477388627250955,0.01706157109052817
32,0.2731370419439647,-0.1282485224493884,0.1647738843024328,-0.4447586182310807
33,0.2731370419439647,-0.31682570342405963,0.16477388271550283,-1.0252452537977779
34,0.2731370419439647,-0.6161503822473573,0.16477388133414403,-0.07653500162385106
35,0.2731370419439647,-0.25934352654984044,0.16477388009636795,-0.498731029134018
36,0.2731370419439647,-0.393930785718332,0.16477387898330165,-0.754961298921976
37,0.2731370419439647,-0.559427793833821,0.16477387798883064,0.03800078761584728
38,0.2731370419439647,-0.23988887554645785,0.16477387710977226,-0.6383810850328684
39,0.2731370419439647,-0.4524892045512211,0.16477387634996596,-0.17516474358636658
40,0.2731370419439647,-0.29695727995553195,0.16477387572846192,-0.3759588868606266
41,0.2731370419439647,-0.34685182168979883,0.16477387523678555,-0.85949769060797
42,0.2731370419439647,-0.5714769492254556,0.16477387486492928,-0.30330807567793117
43,0.2731370419439647,-0.39425555067716017,0.16477387461324414,-0.8598021576044264
44,0.2731370419439647,-0.6117906568606697,0.16477387449712833,-0.6375078474947341
45,0.2731370419439647,-0.5842300784308828,0.164773874461865,-0.9072412249578947
46,0.2731370419439647,-0.719634320093838,0.16477387444917452,-0.7765728404692261
47,0.2731370419439647,-0.6982793006575002,0.16477387444304378,-0.6254892816191215
