iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,-0.0036080890895428775,0.9291177393157666,-0.0019513019630155786,0.0710509684077528,0.14664286062574122,0.2520732655826545,-9802.068877539943,-4.062548547747451,0.04399479050316173,-3.8250809499762037
1,-0.0025998906327843125,0.9131878138518366,0.012007543152299342,0.07316273842461497,0.15094521563021046,0.2505229574969657,-9802.275012140006,-3.962434038788651,0.04482348926585658,-3.925591712105537
2,-0.00034248843376770075,0.91137767429466,0.013564756978211197,0.0739409247828523,0.1517985311166138,0.2500718240667196,-9802.08038169682,-3.9472577959763178,0.045044626641229074,-3.7625601126814834
3,-0.13617019873356373,0.8925448278125863,0.024672573543802513,0.05166499505004541,0.15492897628704327,0.24855598645826366,-9800.419510056967,-3.912637231314873,0.04511990203512464,-4.044733751179376
4,-0.13938827978292162,0.8871729008025904,0.028946716608432434,0.05203983815853724,0.15598549683422008,0.2482047317752814,-9800.431384993788,-3.984027629873002,0.04526022481618157,-4.005691473634595
5,-0.1370489469295191,0.8961445829727486,0.019907779210593793,0.05265212880202601,0.1538003237588158,0.24906108055187318,-9800.353396353556,-4.0053562796885736,0.044845844670684754,-3.7682977837924527
6,0.0001415155222482837,0.9323724497411641,-0.00836046409992226,0.07506225548571842,0.14713863330801746,0.25174918963347054,-9801.867533355493,-3.893638960948203,0.044279800217423976,-4.069019773321182
7,-0.1366972417494614,0.8948168357628423,0.018928617459456135,0.054951319160193905,0.15413809831137767,0.248032859927419,-9799.274376910742,-3.999864117414252,0.044785919869194835,-3.9596748157223454
8,-0.0007267097518997305,0.8993294507804719,0.020783849352579736,0.07865746717113015,0.15509987431369712,0.2479519493863689,-9800.868786774206,-3.9643296604062774,0.045560376943426226,-4.020522947519101
9,-0.0003604015975844498,0.9145655791861529,0.006345056166588071,0.07802495032016799,0.15154016639622148,0.24917247433391643,-9800.570717321805,-3.986867936655619,0.044931322845185834,-3.962495179864464
10,0.0001358337723070205,0.9205216134494768,0.0003126545404641267,0.0782208192939282,0.15002471178018556,0.24975599049148278,-9800.54669156768,-3.9761343927972925,0.04464439566146179,-3.8591637327136166
11,-0.0005666840891393257,0.9107364783459586,0.009047416550441693,0.0790510504816582,0.1522883840419315,0.2488748494808713,-9800.50050836276,-3.929615046753358,0.04501197744785936,-3.913836809574758
12,-0.0004474360108041354,0.8876462348609429,0.029511830142308577,0.08162790791147129,0.15843498554897717,0.24619684168496342,-9800.367356940089,-3.9255121474354056,0.04619434580831506,-3.7973248946677027
13,-0.0007370034644294632,0.9019307005267503,0.016971688921124797,0.07987766670091487,0.15499895429261573,0.24747711727000218,-9800.067853463734,-3.8779279916042237,0.045573194783979684,-3.8961809105908722
14,-0.001084441394976752,0.9173941921571684,0.0023515190924933843,0.07902254721315291,0.15142324936243057,0.24873204061771542,-9799.894726923516,-3.8906288857183142,0.04495452344854779,-3.7069250033957366
15,-0.1295172466274863,0.9054211816047146,0.006256395712646029,0.058448811702020695,0.15218946783543968,0.24779994806855807,-9797.950655411236,-3.8564340845259175,0.044414936927846954,-3.898937739599139
16,-0.003393074426806934,0.915271048820878,0.0030945549487833473,0.07980132128094758,0.15144577193409337,0.2483977668733253,-9799.434291996136,-3.8614762387120045,0.04480288173921901,-4.159857197513233
17,0.0002242197564996704,0.8922167079420087,0.02445706595778946,0.08231702702506372,0.15802703655235473,0.2459941093474544,-9799.935825081364,-3.982233885423826,0.04620722659658871,-4.065435427559273
18,-0.0023131506454954895,0.8530327260972008,0.05988750978659253,0.08541530497793484,0.16871451836766493,0.24099446533032742,-9799.66758882979,-4.005481863897749,0.048409437411077894,-3.9490596960777644
19,-0.0008353883632313254,0.8304208787083506,0.0885318665464937,0.07979562384886923,0.17378412998296228,0.23840378480368585,-9798.57636176099,-3.96899522002421,0.04943268478647678,-4.18805377626974
20,0.0022769196363409067,0.827964729154071,0.09425186431003027,0.07733638024673925,0.1744065254687734,-0.23814905535647707,-9798.55456970711,-4.050184139795356,0.04961768655789923,-4.010323933786691
21,0.004756736669776728,0.8353011027567533,0.08900372290006427,0.07586550312688993,0.17275374461131027,-0.23877678492296758,-9798.397440087903,-4.020140561206836,0.04931051504385251,-4.068274521254817
22,0.004179849853451104,0.8353567415916827,0.0889880744724229,0.07575608215666102,0.17345607394802987,-0.2381959451433231,-9798.276799654672,-4.030473403532544,0.04955550256592983,-4.264823756766968
23,-0.1650885911598171,0.8281319204081357,0.089849734521522,0.044367473946264606,0.17127134230393826,-0.2387646837539117,-9795.829985987062,-4.149408861268625,0.04821886570029679,-4.447534232006792
24,-0.17328035097454406,0.8159326572915209,0.10145629145333102,0.04313523736300927,0.17474087887483244,-0.2371822191886625,-9796.097057963005,-4.26273920315159,0.04903450777197858,-4.021430579323317
25,-0.16644246686993736,0.8321874437922159,0.08604113564698984,0.043821933979635436,0.17073340417203298,0.23922597398475298,-9796.337662909285,-4.152971001058967,0.04820731986365151,-4.133695020003577
26,-0.00030926236522146693,0.8830876075476815,0.04618117356118115,0.06983772918929088,0.15913119981927146,0.2446525390614661,-9798.177163758663,-4.11408313306748,0.04630289524639271,-3.9525826239932482
27,0.006072643248073374,0.8869758509939042,0.04217029697551539,0.07130412745558246,0.1578620013146637,0.24515504665000884,-9798.256260174954,-4.037875727096847,0.0460005139118431,-4.0070930648521434
28,-0.0010945491761583958,0.8814531932136451,0.04693587204134958,0.07036362466744955,0.15809637570343196,0.24459099038600418,-9797.421051669457,-4.022600725933194,0.04577294106564668,-3.698189486535749
29,8.907324080871548e-05,0.8906202656662492,0.037973997822850686,0.07039903144287513,0.15645232732329867,0.24547808219660083,-9797.890089656572,-3.891871177484945,0.04559794974070513,-3.9491798814279098
30,0.0006666147373904493,0.9133063029432298,0.016627132580130388,0.0692835204419582,0.15124245622717558,0.24733196405049512,-9797.694249176951,-3.9190591184477888,0.04469756861475849,-4.214906205560919
31,-0.0005601527141466665,0.9208618940517473,0.009800972997886757,0.06828816350867685,0.14807317546262372,0.24877360332260007,-9797.751860774619,-4.035641732264558,0.043901869116736075,-4.028756385921143
32,-0.1455456572274065,0.9043103510660724,0.018166638568236245,0.043989324767805746,0.1491240909655465,0.2479978738561282,-9795.598587495588,-4.059029041789426,0.04327068016467457,-4.72009027546291
33,-0.00021239531250479156,0.9281855734246793,0.0019354061850730304,0.06901013711400356,0.14691111881771962,0.2503955490474571,-9799.886694318731,-4.289693305484091,0.043936342292189914,-4.431030712371559
34,-0.15572913589367943,0.9051019996240554,0.015882330891933256,0.043309403685665535,0.15010128703036943,0.24870288095823842,-9797.653185566254,-4.3478120323586396,0.04375589779369041,-4.083255501027068
35,0.0004395883761681369,0.9116729831448176,0.016886330060370047,0.07066069124328975,0.15122845493924014,0.24894252554842172,-9800.21953300559,-4.204358461584664,0.04476105320103402,-4.1647821351430405
36,0.00041601356277836267,0.8995673275341469,0.026946473263913064,0.07263843552011948,0.15429697014860444,0.2475498243861639,-9800.090008414587,-4.174218995095603,0.045293596921308146,-4.276420604804114
37,0.006616011603411408,0.9447400280236288,-0.016572965981674515,0.07253979172990585,0.14446219843769065,-0.2504696628739966,-9799.321400195977,-4.202358263823544,0.04371595596133751,-4.144428510354408
38,0.0010301378056297536,0.9744883288533193,-0.04510660995324528,0.07004062039582776,0.13478305490930692,0.25403788311274805,-9798.835832300776,-4.167385371436743,0.04161357164492849,-3.7247378763597863
39,-0.14638991116735012,0.9303860865943658,-0.01510810103234805,0.05080537330492971,0.1431911725000567,0.25015558279936,-9796.29924319719,-4.0172238253143995,0.042150065902641476,-3.9375150632912232
40,-0.15312364159907615,0.9073291350731365,0.007211271395826146,0.04998938195932009,0.14931600540886486,0.24779902678991328,-9796.204608324231,-4.003526493481233,0.04333918414895989,-3.7160935019571606
41,0.0031757420783046827,0.9061498965800371,0.01697999313291442,0.07649009692177372,0.15348352196068454,-0.2465197267290431,-9798.574641901596,-3.8821199155741772,0.04510306245153645,-4.1354470358770765
