iteration,b0,b1,b2,b3,q,r,h,loglik,predicted,var,actual
0,-0.00028896030342783125,0.7915879315339911,0.07780338120439798,0.12917214013970235,0.11187933480911083,0.22517850253178084,-1.0009936089123368,-9801.378705716745,-4.0547339638561235,0.055653825554004256,-3.8250809499762037
1,0.002526011552409923,0.9069711527697634,0.01549459747332787,0.07702061842313124,0.14926385035877834,0.24992505246693392,-0.08580660681669341,-9802.400305483932,-3.9606527949300547,0.045176734397901354,-3.925591712105537
2,-0.002475509806550225,0.9985296978398648,-0.06331298465790172,0.06345601122777307,0.07765397384553935,0.23079102207330288,-1.2031425652666043,-9800.630019639302,-3.9495468699480027,0.052959301157080405,-3.7625601126814834
3,-0.0023307786215792515,1.369461214576244,-0.4288181142345887,0.058552081820737956,0.0060876145953561835,0.25036722149168855,-0.8605921503657752,-9799.581144538548,-3.911601336713849,0.04106092998352163,-4.044733751179376
4,0.0031167844488955423,1.3675270253627287,-0.42767829958533865,0.06055198133312696,-0.0053385185394472096,0.24785903696949874,-0.9698914737133917,-9799.594213052216,-3.94556979253761,0.04208870218956397,-4.005691473634595
5,-0.0020175906457047324,1.3610585038084073,-0.4225854323553102,0.060779425602227516,0.006820347642130178,0.24694348907166053,-0.9681091263254546,-9799.435425436344,-3.959847861020251,0.04226068466110188,-3.7682977837924527
6,-0.007460821806453579,1.044852978071484,-0.08523342544269166,0.03810588984570096,-0.053193458498058566,0.24444715089761332,-0.9770402861752352,-9800.486414285298,-3.898228712162589,0.04744032993749801,-4.069019773321182
7,0.0031123000864369116,1.3573967267792457,-0.42026606551132656,0.06325732050702945,0.0063302014809753625,0.2463435791888349,-0.9681346834353175,-9799.232263525771,-3.935588942089527,0.042093367836172096,-3.9596748157223454
8,0.0031062641857570157,0.892367689861935,0.025101652123678465,0.08214401107038971,0.15467828187009888,0.2472693124922941,0.05774999731044499,-9800.959499182356,-3.963366225439846,0.04591190599041129,-4.020522947519101
9,-0.012165974958874516,1.1232491620138738,-0.18712754012105642,0.06058326976037166,-0.05503526294029272,0.2345367749670347,-1.1898166562627366,-9798.691004643135,-3.9843588944483614,0.0501659535748973,-3.962495179864464
10,0.008744980922368133,0.9121697896556382,0.004341053488162373,0.08444716183398207,0.14885050426005275,0.24898203340230146,0.07032737044409651,-9800.753144080207,-3.9739283317810576,0.04509350946631687,-3.8591637327136166
11,-0.011765436386055941,1.0674492575649985,-0.14395105089828047,0.07317664479208352,-0.06466793266610549,0.2328732913163833,-1.1763598717933572,-9798.664035063706,-3.9344090597222103,0.05102067163049073,-3.913836809574758
12,0.0054058673108176546,0.8756581156735711,0.03248729264344277,0.0919338825039975,-0.15432372365641228,0.24553525372905327,0.09310523399154075,-9800.474195102615,-3.924127475516358,0.046544013603665765,-3.7973248946677027
13,0.005379305867841286,0.8892776108943012,0.020437452859428953,0.09041776357228144,-0.15118711503330126,0.24662759450776917,0.09381796806038194,-9800.181989739987,-3.87633027977325,0.04602401437523651,-3.8961809105908722
14,0.008581411109997116,1.0725959482322756,-0.33035577346905354,0.25884709421180707,-0.04472875410136273,0.259835343442301,0.21403086141709127,-9800.222763698306,-3.8725583170431372,0.039173314847121415,-3.7069250033957366
15,0.006768205638937059,0.9181781128880834,-0.030087184231660107,0.11233096078896329,-0.1292347633298145,0.2500947577705455,0.14506363533059988,-9799.545489697866,-3.8213199126257056,0.043953153583689154,-3.898937739599139
16,0.007319036672861616,0.9637072900031317,-0.24723780282357904,0.28401432591445813,-0.06843885355907206,0.25620665416051813,0.20826440762748977,-9799.27993106313,-3.8492111329656487,0.040698392106807646,-4.159857197513233
17,0.008057085738303257,0.8989273497401231,-0.21578710340402485,0.3174712964431291,0.07946267347584018,0.2539444392777582,0.2077799219793977,-9799.54685311844,-3.9743119738608605,0.04196507098919515,-4.065435427559273
18,0.007270004903407467,0.8252087809027322,-0.01826739079693443,0.19367411895303333,0.13051871841651191,-0.24205721771036148,0.1846069952928613,-9799.556746194687,-4.008538886603123,0.04732849484806837,-3.9490596960777644
19,0.004530639787598786,0.7283885763254424,-0.11130785417536565,0.38247609269959193,-0.10846348232882068,0.24511896584518533,0.2090882721431262,-9798.505336012387,-3.969626041179142,0.04606483457180706,-4.18805377626974
20,0.006943662276527536,0.7618672138670122,0.11818308877854508,0.12052372540436644,0.16285788979698623,0.23561024263136454,0.15279460855780977,-9798.564196942883,-4.0491136476184675,0.050847733108747455,-4.010323933786691
21,0.008918479992575584,0.7904590774493396,0.11728248989050327,0.09333773499043815,0.1718827946022793,0.235468581108149,0.1124579812215353,-9798.426917053184,-4.01859701456793,0.05089314600521251,-4.068274521254817
22,0.0009772872462442028,0.6018386408388704,0.03968255792623346,0.3577019953628129,0.13886794864714114,0.2337473941978794,0.21040777070867794,-9798.25810009704,-4.030394764945251,0.05169587638299111,-4.264823756766968
23,0.0011333142900989469,0.8332112883393726,0.08527428552589471,0.08093533574036851,0.16505870325187644,0.23950614172666632,0.09355559392590218,-9797.848276281478,-4.114288440304394,0.04871542992057609,-4.447534232006792
24,0.0011477532347644029,0.8253605470291907,0.09546965475984395,0.07860367660297532,0.16964347747062747,0.23815348781592238,0.08171448804611994,-9798.245392914601,-4.229478468705845,0.049483277387722444,-4.021430579323317
25,0.0011032981962515386,0.8455977637868809,0.07743437415890139,0.07640755815204667,0.16635712940084654,0.24025589740122752,0.07011284809900997,-9798.413963658593,-4.119422352727912,0.048590930255974066,-4.133695020003577
26,0.006267684617014536,1.0378005883745436,-0.09331932804515738,0.05638224757718514,0.06684916099906123,0.23317413689116867,-1.073474760622576,-9797.103012525613,-4.113499667675158,0.05048992065001623,-3.9525826239932482
27,-0.028966034219412504,0.8305795478168849,0.06986760549588689,0.09159111913241064,0.1402109495137961,0.23840590695595143,-0.38204534131243195,-9797.649518330863,-4.041994339218448,0.050284317920417286,-4.0070930648521434
28,0.003575913496719885,0.9218014803515251,0.09948868975950381,-0.021006022758812935,-9.110602988163347e-05,0.2589695532976857,0.23734016319352375,-9799.327807176429,-4.041957830937668,0.039244709364100044,-3.698189486535749
29,-0.0009464580442891349,1.019689838074679,-0.0039027328700536046,-0.016446087401778102,0.0001044302864271589,0.25906952004622047,0.23792816974187697,-9799.701054294543,-3.916877646786483,0.039420483742256075,-3.9491798814279098
30,0.0015517849981042978,0.9117285951265249,0.017867303699374504,0.06981766552808982,0.15142480911089645,0.24712019829927678,0.022507046497131117,-9797.719024878043,-3.918994922851514,0.04480075813694088,-4.214906205560919
31,0.001578599915738017,0.917231563353522,0.012907671525731466,0.06928568819800762,0.14888733410622587,0.24828982463632682,0.02358959949063193,-9797.813432337487,-4.035717680073191,0.04415141222679063,-4.028756385921143
32,-0.049680104928142454,1.0761824473222414,-0.1219838293419914,0.03405630968496123,-0.06886610744116257,0.22598947659044907,-1.4364107783081592,-9795.12965600111,-4.041204580086568,0.052865217648024335,-4.72009027546291
33,-0.011754544676180735,1.138641681627687,-0.1828290561495528,0.0410637668839378,-0.05043239764049763,0.23416746662613888,-1.2286479732244264,-9797.812335945695,-4.262538875648796,0.049720083738486825,-4.431030712371559
34,0.012446765858871243,0.9012810754984808,0.010776272478346442,0.08987327626202263,0.07801499827365738,-0.23940726362366282,-0.8196280797258328,-9799.308451152245,-4.298659338568923,0.04777442779504621,-4.083255501027068
35,0.002423647090769261,0.922767916245149,0.0023150055009103073,0.07460480947133252,0.1423260529222311,-0.2501952490505519,0.09109382020960397,-9800.313546698315,-4.207460374462061,0.044280746369035284,-4.1647821351430405
36,0.004402709098761752,0.8741883788001521,0.04914052443311347,0.07664171222326122,0.15554489355324985,0.2456584433489583,0.07663297216094778,-9800.22810189988,-4.1735620075851045,0.046193155198361854,-4.276420604804114
37,0.003966400451452875,0.9554288664686423,-0.02907662051474426,0.07378523977535342,0.13772867974734943,0.2517675729982202,0.07038408412958608,-9799.236511439227,-4.203115654275397,0.04302356617968973,-4.144428510354408
38,-0.006425575114707964,1.112012836328081,-0.17360477447947392,0.05957411471232321,0.053641453307480505,0.23404487212103614,-1.1365216199411066,-9796.457271863488,-4.168122200711253,0.04920491787264983,-3.7247378763597863
39,0.0038823825233986397,0.9387279981308909,-0.016833960586954057,0.07793222163572373,0.14294823962323372,0.24996190982302224,0.04578056043042509,-9798.598930440154,-3.987044972633457,0.0432089484010095,-3.9375150632912232
40,0.003989608462546761,0.9162594980942623,0.0042760832840273225,0.07930280134595406,0.1475646362770568,0.24783529646879454,0.06087685661574657,-9798.500230749769,-3.9741720439237116,0.04428612182004805,-3.7160935019571606
41,0.0038801245233971737,0.9070575923746376,0.010689097474086267,0.08205272216344617,-0.14689696190564544,0.24712485302759285,0.08778159788370235,-9798.589148742685,-3.882385880614551,0.04480808912170244,-4.1354470358770765
42,-0.011859419182218788,0.9795468828858369,-0.04324237047507596,0.060202106536836456,-0.07529534974281281,0.22927045421690273,-1.1530333050074941,-9796.88546676701,-3.9944469815369628,0.051454042201597695,-4.019115530882361
43,-0.0043040537715136745,0.9892986128940309,-0.08097107129882197,0.0905916660415701,0.09304548568016541,0.24839432396512673,-0.45202433855211044,-9797.22823853489,-4.0144553227710995,0.04363669343492685,-3.7737934943580984
44,-0.005559230304994817,0.9506407356913603,-0.02591661388951192,0.07319185407880607,-0.08755117569157388,0.22454071561698286,-1.2191885905492863,-9795.836181433024,-3.9193903411345126,0.05394991346193632,-4.496601972484595
45,-0.013990621879996418,1.0094894706880568,-0.0731863661317963,0.059897531074257465,0.07815933712065704,-0.22687050341472825,-1.2722549081691783,-9797.11848448485,-4.144965931557974,0.05327066122872812,-3.9721871555550607
46,-0.006440430631742062,1.0423983774543402,-0.10419596610906666,0.059738206685443315,0.06961750525108824,0.23019991105227922,-1.1943524309640914,-9797.286965717361,-4.066789460619528,0.05175069816126186,-3.9082478482012233
47,0.005226880384048518,0.9170255942439849,0.008157419689703009,0.07508354733754125,0.14832906375999705,0.24834742599631976,0.06100966335826566,-9799.332300346554,-4.005688008939131,0.044760906477066285,-4.29628881324614
48,-0.013338002358639087,0.9745305629010256,-0.04201358610172545,0.06373883509151529,0.08372830669676004,-0.2257414528624611,-1.2730847039305626,-9797.38434554234,-4.115575146995245,0.053828248227835884,-4.0943904722501
49,-0.019309517670661372,0.9987233725647324,-0.05615525577661795,0.05239904897973187,0.08099907832172032,0.22551880326263424,-1.3270417002000023,-9797.190417436146,-4.100929040120058,0.0539046315884157,-4.080088368063553
50,0.002409448580955608,0.93631946989289,-0.01370231347180706,0.07726838629609356,0.1411927241729164,0.2492581399706839,0.08156339233287269,-9799.150313380193,-4.091382900279506,0.04375306775144748,-3.9858425796574166
51,-0.009637056572374968,0.9981620567003422,-0.05212338286807472,0.05111687614682735,0.07771570948506526,0.22756410169721253,-1.2521198261748028,-9797.36884721699,-4.044477441002323,0.05299698810837842,-4.131838744165488
52,-0.005844593143435026,0.9623388750714392,-0.019810482895316506,0.055439031518126514,0.08527617320537495,0.22537548898798188,-1.2718321252480673,-9797.56686324613,-4.074832146291754,0.054088579443615004,-4.0824726668985445
53,-0.0053675141641250125,1.0149150182231246,-0.06225680858822327,0.04550292574701534,0.07289230150964088,0.22954573630725328,-1.2163590850228223,-9797.476570651274,-4.072706252430203,0.05222084368541843,-3.9785873992966314
54,-0.0007272194680389337,1.396147692678079,-0.4509679561232649,0.05438165142831808,-0.0014794346187504814,0.24177781656795833,-1.0203792749729637,-9795.745986254571,-4.021860067937773,0.041393393367524005,-4.650997157765422
55,0.0007587534839605939,1.0831312503118653,-0.11765180283782284,0.03419443997316356,0.046482457449799314,0.2400072446813758,-0.9999100471596964,-9799.425933562527,-4.242093417047363,0.04662519858444823,-3.926710056817801
56,0.002330215362467929,1.3887924631996014,-0.4425122416210847,0.054014771267138176,0.0002426185643413788,0.24619791321965712,-0.988898686322621,-9796.663991297111,-4.103783129522986,0.0412978561170973,-4.160230053958364
57,0.0004509269582632493,1.0501167568847585,-0.0997638826895515,0.04914564526777232,0.06393195525648865,0.23358619310383177,-1.179329385675735,-9799.306335842823,-4.124244557237223,0.050859068430578976,-4.221671925729136
58,-0.0170709588279514,1.029518298197359,-0.0819144730409693,0.04788868215307007,0.07548512081614481,0.22743190568004273,-1.4026928253365987,-9798.83688156674,-4.156463301873196,0.05356849797354265,-4.440007199261645
59,-0.012886097297407022,0.9671955365263551,-0.039306557999461963,0.06847263190412844,0.13158381731260882,0.25582496908257735,-0.08065576706333366,-9800.25421503264,-4.252423747875503,0.04137659086763298,-4.214576567908295
60,0.004230659880664586,0.9485595382225263,-0.02308460004957795,0.07471960650016149,0.14045649829706147,0.25350665445746345,0.019531252721444077,-9800.576648650227,-4.2204886411389175,0.04261247980960205,-4.459336755116652
61,-0.005716598104138963,1.3514569707776731,-0.40755410831614847,0.054545972192110395,0.006601945305088819,0.2523019108689639,-0.7678337299518667,-9794.6224008844,-4.279662842391978,0.039295868365385164,-4.271645935434013
62,0.016972820312953413,0.9590455341230435,-0.03781114856512363,0.08190235741585192,0.13693720714109542,0.25362728864238193,0.05665386301067621,-9800.316687680266,-4.266707026948076,0.04247176887901111,-4.3478441159338885
