iteration,b0,b1,b2,b3,q,r,h,loglik,predicted,var,actual
0,-1.918445214274771e-05,0.7230024600049079,0.1822959397802772,0.09309350169799807,0.2158664818001289,0.1653780912361122,0.11386659328164081,-9751.637193820203,-3.8478803629416656,0.06059875607878786,-3.648061193806448
1,-9.374372971607882e-06,0.7273583858572,0.18215193730158857,0.08882310218968355,0.2164324892798896,0.1661231548317605,0.10495951360230688,-9751.87045380046,-3.730003320020375,0.060418767554253724,-3.743343636229674
2,-1.2105285299200765e-05,0.7260638742868646,0.18383255126260506,0.08842058896612454,0.21719154195359416,0.16560120677568543,0.1031970495137149,-9751.867093997487,-3.743883648380459,0.06056899832309119,-3.707729093318405
3,-2.6058623922259374e-06,0.7317461022965726,0.1806842773665463,0.08592925064983564,0.21800510812279822,0.16584867824221183,0.09434552389756118,-9751.941338926683,-3.7310538888756226,0.060571496576653894,-3.749222655561136
4,0.00014366275420583843,0.7429053310269529,0.1718912566416903,0.0835727789275554,0.21571082520311524,0.1684637774882733,0.08559285434494218,-9751.85508132036,-3.7459414118685417,0.05960838826135009,-3.521567124967769
5,0.00014216047395035643,0.750593028756054,0.16414662578238912,0.08356361656123405,0.21274843238856644,0.1708778331547438,0.08808617889626055,-9752.08382124316,-3.628299598855566,0.058832981036387406,-3.741325061858937
6,9.370620301727588e-05,0.7405436308200337,0.17115840440139934,0.08658836471397857,0.21322880206675104,0.16944123015008117,0.09909896632479961,-9751.989005630572,-3.7076749654898946,0.059256678752441935,-3.6513738390238544
7,8.004039162812507e-05,0.7327944200227452,0.1776752221346155,0.08782462706995656,0.2146664509472418,0.16771039706699403,0.1045240125011292,-9751.946772067136,-3.6809503293924637,0.05987931551154494,-3.8031925188710383
8,9.48000582114689e-06,0.7240471576558728,0.18230494719370438,0.0919103295774135,0.21563011320500594,0.16599676216938092,0.11173318825981583,-9752.01092047723,-3.7522816128374585,0.06042571129858566,-3.6069448545980354
9,-0.0021562596405229114,0.7284575809034748,0.18355130478029402,0.08596853601910667,0.21966987575625108,0.16458949466969652,0.09323405717179528,-9752.066381327691,-3.6689821889297454,0.06106664309027031,-3.5316494527685274
10,-9.117673212580453e-05,0.752377498955374,0.16496010769990788,0.08086441290889107,0.21401340866494195,0.17035361060478238,0.07630486065352482,-9751.734362651889,-3.6080125223384027,0.058856516483916176,-3.7367039010087204
11,0.00015965582527199443,0.751003098095063,0.1613435353307055,0.08587902488298874,0.21030729975510803,0.17154984694703335,0.09651902455282416,-9751.556692803973,-3.692082621977067,0.05827097799907424,-3.600874106184085
12,-0.0002633754027836772,0.7445927306996808,0.16799039707359528,0.08553430163442752,0.21253147348691637,0.1698357930506637,0.09579482860794207,-9751.54104227582,-3.642474700687986,0.058889558466813825,-3.8042778928156906
13,1.0271627127094782e-05,0.7415524251903105,0.17107563838822828,0.08567082519299132,0.21583065461936357,0.16734219442689013,0.09267880389989444,-9751.537693342416,-3.7305990231674797,0.059872259826463575,-4.04534288470452
14,6.029811459151938e-05,0.7332661749257465,0.1711462404968024,0.09381689673991253,0.2138624739632788,0.16634711520437853,0.11043151924625282,-9751.009714756718,-3.8819646494899294,0.05977393464650981,-3.9648968516177767
15,-7.637028068023783e-06,0.7409720462348393,0.16289443841170093,0.09443672189064181,0.21295097677886513,0.1673105532063088,0.11011845146053312,-9751.162649476993,-3.8916390053985577,0.05961478620037231,-3.9842224727743245
16,3.994495667178562e-05,0.7645232215130098,0.14278012127464018,0.09108528023299046,0.20800773264756423,0.17229445017174322,0.10273992705055207,-9751.39542986958,-3.9140349943933312,0.058024269401504694,-3.956643242799223
17,0.000912528327253214,0.8194811423031763,-0.22996418700028332,0.40912485015978006,0.09703406591370484,0.20543193580703045,0.22730265053045134,-9750.270519368358,-3.906645408552966,0.04482048260761455,-3.557268722562443
18,0.00025451286031933794,0.7331765734530268,-0.13859423877749938,0.4032295281847686,0.125167663122435,0.19603266541080652,0.22062197690169233,-9750.022371395633,-3.704268165930139,0.04829915041944234,-3.8807918348964052
19,0.00031374174737264725,0.6299385748181796,-0.08386171987695973,0.4517085837160689,0.14669630715856624,0.18428130360546102,0.22163189275466233,-9749.428885324962,-3.806838480933697,0.05278871243673254,-3.690455266337619
20,-1.5129796316492568e-05,0.7214008562011306,0.1880223082722416,0.08897238234396881,0.21041063069852511,0.1667126833544638,0.12625542761251662,-9748.986535863305,-3.745198675042965,0.05924807738552567,-4.0342827891915745
21,0.00019331145636262206,0.7200048172861138,0.19596986173488035,0.08259689313475754,0.21277189149891834,0.16608347657653952,0.11948925639038037,-9749.394183573922,-3.896387481242647,0.05965744089233473,-3.73607273762796
22,-2.6924804177342886e-05,0.7217190060302653,0.2007249258448715,0.07603198768330914,0.21595198332476584,0.16538693684004613,0.10358274330954229,-9749.54366472875,-3.781490599855978,0.059942485860951446,-3.7729183230791663
23,-3.0923953328314025e-06,0.7213826739573374,0.20286197970253764,0.0742233612113539,0.21760218388217867,0.16463381036498487,0.09710303098125947,-9749.64479616877,-3.7777882320713974,0.060219864930407645,-4.031025392054905
24,2.05444606792342e-05,0.7252360331558555,0.20137121793641183,0.07194337238150761,0.21891167531952144,0.16477922859142444,0.08657178831490367,-9750.196557182848,-3.9092949680772873,0.06036261735973675,-3.752232613924836
25,0.00010759171776528572,0.7437734357558189,0.188188278066903,0.06655066980715568,0.21721779442722666,0.1688248327219088,0.046649374781172245,-9750.47424426994,-3.8052953958862394,0.059054934688894556,-4.040790662002432
26,0.000471501626005697,0.7777932482780905,0.15698244640513398,0.06379597569179238,0.20538690686590655,0.17803218363652648,0.03374597528804086,-9749.596861886099,-3.921533959669337,0.055373735176077056,-3.81237896366224
