Date,RQ
19980625,0.00014902
19980626,0.00010165
19980629,5.73865E-05
19980630,7.65045E-05
19980701,0.000157223
19980702,1.31473E-05
19980706,7.12031E-05
19980707,7.17221E-05
19980708,1.45997E-05
19980709,4.35702E-05
19980710,0.000232013
19980713,5.25376E-05
19980714,2.63578E-05
19980715,4.04684E-05
19980716,3.35865E-05
19980717,3.18899E-05
19980720,0.000158703
19980721,0.000153995
19980722,0.000360204
19980723,0.002058162
19980724,0.001800793
19980727,0.000702246
19980728,0.002180052
19980729,0.000596568
19980730,0.00024375
19980731,0.002091493
19980803,0.001057651
19980804,0.010516404
19980805,0.011954612
19980806,0.002321879
19980807,0.001124574
19980810,0.0004963
19980811,0.004524149
19980812,0.00035042
19980813,0.000665488
19980814,0.001413861
19980817,0.001394241
19980818,0.000275993
19980819,0.000356034
19980820,0.001656844
19980821,0.004833591
19980824,0.000641605
19980825,0.000506689
19980826,0.001624648
19980827,0.015350875
19980828,0.013477571
19980831,0.082626755
19980901,0.082374335
19980902,0.009495575
19980903,0.009902689
19980904,0.00700261
19980908,0.002721671
19980909,0.003305028
19980910,0.007609397
19980911,0.041902702
19980914,0.001383166
19980915,0.000917244
19980916,0.003158236
19980917,0.001494074
19980918,0.000760066
19980921,0.00247918
19980922,0.001198978
19980923,0.002337844
19980924,0.002700135
19980925,0.002992415
19980928,0.000607341
19980929,0.014486757
19980930,0.00215402
19981001,0.013338623
19981002,0.006589967
19981005,0.011308553
19981006,0.004224997
19981007,0.00800039
19981008,0.040631195
19981009,0.007441636
19981012,0.000785231
19981013,0.000989336
19981014,0.002822418
19981015,5.461803758
19981016,0.000935186
19981019,0.000691822
19981020,0.001614462
19981021,0.00062547
19981022,0.00059736
19981023,0.000264871
19981026,0.000468458
19981027,0.001076275
19981028,0.000390022
19981029,0.000430186
19981030,0.000214169
19981102,0.000300152
19981103,0.000122974
19981104,0.000329835
19981105,0.000568384
19981106,0.000261695
19981109,0.000221023
19981110,0.000160851
19981111,0.000299488
19981112,0.000312981
19981113,7.24411E-05
19981116,8.14088E-05
19981117,0.00425505
19981118,0.000155369
19981119,6.7598E-05
19981120,2.97208E-05
19981123,0.000157884
19981124,0.000119231
19981125,5.06818E-05
19981130,0.000326479
19981201,0.000285982
19981202,0.000599648
19981203,0.001374915
19981204,0.001305896
19981207,0.000118669
19981208,0.000999128
19981209,0.00037645
19981210,0.000449779
19981211,0.000996433
19981214,0.000339878
19981215,0.000344074
19981216,0.000316603
19981217,0.0005552
19981218,6.67578E-05
19981221,0.00079973
