iteration,predicted,var,actual
0,-0.2348325631677786,0.3270931875695233,-0.9886015552521764
1,-0.5129956736801158,0.23360971554136106,-0.5820482829542634
2,-0.41231333463567155,0.23549121499144898,-0.5965935850265526
3,-0.4370865959960393,0.2362893369644833,0.6780041788670059
4,0.12121230921993517,0.23645810962792602,-0.36761646176974005
5,-0.19660414242008037,0.23679526022134326,0.057839558419411276
6,-0.0018853835413478667,0.23730556171844228,-0.44114357825846345
7,-0.1970015538909789,0.23776056416365515,-0.274128961524011
8,-0.14772149033739676,0.23814527086627402,-0.8475235345163612
9,-0.46887342259602305,0.2384567935914334,0.4346460875273438
10,0.05906085158955689,0.23870169889820053,-0.1017119553120042
11,-0.11237539751541867,0.23889065975646792,-0.11907142201976831
12,-0.10395463762190635,0.23904000511215456,-0.08810843126094406
13,-0.08521762967839489,0.2391567709093583,-0.7360240014573102
14,-0.3547425075763614,0.23924903019967497,-0.3255969079678742
15,-0.2672731185019386,0.23932164901562575,-0.8376602609376546
16,-0.5170387484911881,0.23937812444040096,-0.12205406528213264
17,-0.25212278436935465,0.2394232925907962,-0.39269140829897436
18,-0.3517391424139076,0.2394600077385977,-0.16644407103204698
19,-0.23172533911672422,0.23949077952843556,0.08771130773094882
20,-0.09304382036470038,0.23951878872990062,0.315131897752361
21,0.08021692748128599,0.23953855671878493,0.06817629391154677
22,0.0159898869282792,0.2395581192413222,0.6645426387170851
23,0.319048178955329,0.23956668151573896,0.5589473051219944
24,0.3513168768904089,0.23957633703284384,-0.4244162571148938
25,-0.06638876444201665,0.23958644551821712,-0.2148474716437183
26,-0.06071696609571224,0.23959529750612618,-0.11676189282523279
27,-0.04650852989657661,0.23960331779977556,-0.7643600730423875
28,-0.3900653424297701,0.2396112907747522,-0.5824079772121543
29,-0.41020036365524437,0.23961811778673847,-0.7785180363043499
30,-0.5233317078187064,0.23962262089074965,0.33021565281294374
31,-0.05444864738481555,0.23963248945266044,0.01706157109052817
32,-0.11970188803294893,0.23963267081157186,-0.4447586182310807
33,-0.2837619169900283,0.2396357050647568,-1.0252452537977779
34,-0.5759148615634155,0.2396408174584423,-0.07653500162385106
35,-0.2051296581011001,0.2396420091880319,-0.498731029134018
36,-0.39351557081137933,0.23964436432366523,-0.754961298921976
37,-0.5469721489697608,0.23964596827452278,0.03800078761584728
38,-0.2120636094446673,0.2396480707458652,-0.6383810850328684
39,-0.44081323948462575,0.23965004902687603,-0.17516474358636658
40,-0.2761739582611427,0.2396513233145326,-0.3759588868606266
