iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
10,-0.10918004708645648,0.7541515816404358,0.1645568095323614,0.056126266113711784,-3.0665269163919593,-3.540805991991788,-9750.737798018083,-3.6356809163674644,0.058253564138825584,-3.7367039010087204
11,-0.11147442696420425,0.7557744742955261,0.1610983923359107,0.05734142433115258,-3.0759367017444816,-3.5271867733818074,-9750.507471663355,-3.7199691309729697,0.057943326191140475,-3.600874106184085
12,-0.1109911997360302,0.7507835490279282,0.16651391057875747,0.05698736582704386,-3.0606268264404077,-3.542414621459953,-9750.528033824563,-3.670632173370496,0.058434648377925946,-3.8042778928156906
13,0.07585059719065562,0.7331868653264707,0.1875487224626809,0.09384677712891529,-2.9485237488963563,-3.656319011594588,-9753.369514215998,-3.7128617390242624,0.0629039857593869,-4.04534288470452
14,-0.12126656680180248,0.7428413912666736,0.17064468496738358,0.05859408599628067,-3.0297525358696484,-3.587697889004162,-9749.8303104974,-3.9105693534400947,0.059372770470523195,-3.9648968516177767
15,-0.12156639931904846,0.7500750925719596,0.16286048089092958,0.05914738166624558,-3.040920913618021,-3.573694930811965,-9749.965003035313,-3.920956863992048,0.05910922295752885,-3.9842224727743245
16,-0.16729786891414428,0.5625992573978922,0.3040173884510413,0.09504698815820567,-2.4325333633334383,-29.80159492262637,-9751.928474152617,-3.93276627786385,0.08781408556744653,-3.956643242799223
17,-0.11634140393920955,0.7888724100322793,0.12618310469867772,0.05817371989447559,-3.160589486458008,-3.456657778250949,-9749.778620312756,-3.9455852858084355,0.05549486669973939,-3.557268722562443
18,-0.1603573010082297,0.5673715733769157,0.29335794160292417,0.10211620763539908,-2.4350134384258357,-101.94664447028984,-9752.210276926078,-3.7278420573445175,0.08759656988014021,-3.8807918348964052
19,-0.12156019034720295,0.7459971021995686,0.17278922135672464,0.053197528699405666,-3.064113759364131,-3.55235632705056,-9748.753710995345,-3.851689375156103,0.05805671974270332,-3.690455266337619
20,-0.16334766501960796,0.5549602161702081,0.3204745079862339,0.08703332474298091,-2.438926084404207,-110.25219151798854,-9749.619271594016,-3.769152691899036,0.08725450513878011,-4.0342827891915745
21,-0.1273644507601877,0.735241917126761,0.19054963725104793,0.04512711153247516,-3.0360788820931157,-3.582113448250504,-9748.07487878658,-3.927213096609629,0.05896877393753563,-3.73607273762796
22,-0.12567826092786888,0.7315613995637831,0.1952962219329531,0.04436176868664067,-3.028663500426477,-3.588381053872124,-9748.267198665159,-3.812482460816857,0.05920663931029843,-3.7729183230791663
23,-0.1261043731463013,0.7286879563246018,0.1981551207401151,0.04425514503928708,-3.018861893017899,-3.599815666281078,-9748.36214772435,-3.8085380307774925,0.05954187744529529,-4.031025392054905
24,-0.1305508062572907,0.7289652442374088,0.19780761708443706,0.04341917898819339,-3.016299996501176,-3.599149417588447,-9748.82077819836,-3.939457879099615,0.059685109831032375,-3.752232613924836
25,-0.12540338318137947,0.7396633852068255,0.18811973511472566,0.04346258912604262,-3.0527555228048833,-3.554388700331617,-9749.146791863033,-3.8361618778201136,0.05848860792992848,-4.040790662002432
26,-0.12240827658655874,0.7716100234475742,0.15824683813924034,0.042006538512717906,-3.1675687402241817,-3.45020868420863,-9748.165319533833,-3.9515661191830325,0.05482520254294778,-3.81237896366224
27,-0.11922641824958014,0.7794782513012212,0.1504883183411044,0.04251935027036209,-3.198106065138897,-3.424114549212061,-9748.180832936001,-3.8765904293160567,0.0539253587161407,-3.722609966512281
28,-0.11900844049800569,0.7733656124454688,0.15313366612625945,0.0458769704463078,-3.1818625832500578,-3.4443770355392447,-9747.783017059928,-3.8099257300220097,0.05426187407911116,-4.175435352835041
29,-0.12646480761254753,0.7684895051851346,0.16062171447043422,0.04184130772795053,-3.1553810767196673,-3.4628143205303954,-9747.981294609182,-4.015717204712118,0.05517206517617451,-4.077253632685501
30,-0.12579393212397555,0.7775256625199471,0.15198067717217162,0.041569131013248495,-3.1887403880064147,-3.4358046044080996,-9747.830441629258,-4.033039266614905,0.05417195583262752,-3.760895880844191
31,-0.12750419861277218,0.7537711148649502,0.171751688893115,0.04494847384946401,-3.1264501017264483,-3.4983952414657464,-9747.439437671783,-3.881591767305915,0.055766371926249746,-4.189412514163509
