iteration,b0,b1,b2,b3,q,r,loglik,predicted,var,actual
0,-0.08947879903968034,0.9421173178442135,-0.020351080352265877,0.05728180998194628,-3.841924215792643,-2.6996314191774617,-9800.858378194007,-4.0820563374451,0.04520875810176887,-3.8250809499762037
1,-0.139499638370724,0.8950318818942007,0.022754987655494517,0.05038098485152555,-3.74895706225648,-2.778719926128094,-9800.545228864588,-3.9973144501489815,0.044684360991555136,-3.925591712105537
2,-0.1382692090106441,0.8950874387763561,0.022583116194161437,0.050779378422590435,-3.7451606665982355,-2.780349650585043,-9800.336166247514,-3.9829969724519416,0.0447876988424271,-3.7625601126814834
3,-0.1361703761629118,0.8925445479342811,0.024672770379635053,0.05166504188718751,-3.7295759534520387,-2.7841745039117276,-9800.419510056954,-3.9126372970201446,0.04511991838662524,-4.044733751179376
4,-0.030692115784488203,0.9542995931003926,-0.026335406390531363,0.06430829670511332,-3.969500184861639,-2.725896907997482,-9801.477587696589,-3.9525581817150566,0.041812939960985104,-4.005691473634595
5,-0.13721296589009313,0.8959559995183284,0.02009927943000183,0.05261066070122413,-3.743577174464015,-2.780195779273848,-9800.35340005604,-4.005371805030787,0.04485607345563425,-3.7682977837924527
6,0.03188292693844139,0.8897723580921999,0.030880600957554624,0.08536787090050535,-3.652037807202153,-2.8025608281071106,-9802.735536005013,-3.8838650889774504,0.04748583236823831,-4.069019773321182
7,0.0023502922162011632,0.9224973415021311,0.00020692162679064068,0.07677721818721973,-3.817526196199915,-2.7653966975644764,-9801.040639108885,-3.9656690666706544,0.04415324056168231,-3.9596748157223454
8,0.001130691235979224,0.8969642665891429,0.022968615280449467,0.07924443744313983,-3.717546447096737,-2.7919350732239487,-9800.914675414533,-3.9638932335600896,0.04573180580243123,-4.020522947519101
9,-0.13575441169510477,0.8994548197547637,0.01434717550441101,0.05514364231003454,-3.7502047359850232,-2.7870831678415353,-9798.894198262878,-4.0186247501018375,0.044685856883443745,-3.962495179864464
10,-0.13348496670132845,0.9068707710058381,0.007126916080775876,0.05544774806461519,-3.7753759502637143,-2.7809682016854493,-9798.873324764836,-4.007842157387351,0.044313026522590164,-3.8591637327136166
11,-0.13472496804672823,0.8962237142074108,0.01656996024932866,0.05629696505574648,-3.7417231248072667,-2.7893089857932756,-9798.868480155332,-3.9616769387907285,0.044764498194548,-3.913836809574758
12,0.007483789534214896,0.8797789900356447,0.036742722142910744,0.08400751375560195,-3.651727697261453,-2.8124757385970014,-9800.5608554517,-3.9236645538982655,0.04682892183419404,-3.7973248946677027
13,-0.13635802015600268,0.884602920870827,0.02706721805300627,0.05700295061308264,-3.696424707011949,-2.8034683019761486,-9798.477039947204,-3.9109349145244297,0.04551622366545985,-3.8961809105908722
14,0.023739117453976413,0.893915001594866,0.024155958947360768,0.08616785007273986,-3.675528775994141,-2.806960650643569,-9800.537482885196,-3.8852362277007044,0.04678012211963863,-3.7069250033957366
15,-0.1295169963863124,0.9054214317447944,0.006256198791887147,0.05844881440744761,-3.765258397448497,-2.7902664972607862,-9797.950655411218,-3.856434022025985,0.04441494606878235,-3.898937739599139
16,-0.13256614669367606,0.8987344996570412,0.012722783887912698,0.057993265381352424,-3.7416579023817946,-2.795931084674882,-9797.923310780414,-3.8947796571096314,0.044782439720618086,-4.159857197513233
17,0.010770952277389957,0.8814913233348052,0.03420153021892586,0.08562352240295115,-3.6436429891396633,-2.817843432093478,-9800.200779555178,-3.980819129290543,0.04710691302496488,-4.065435427559273
18,0.009169709140710119,0.8427727341142711,0.06911678927926312,0.08897961191764912,-3.5165958486016358,-2.860083591663849,-9799.937615704981,-4.00281052381701,0.049338073552692555,-3.9490596960777644
19,-0.006537195680795667,0.8277550143559569,0.09071545233137614,0.07900501265284754,-3.49182385965174,-2.871699021612079,-9798.450798078324,-3.970062451271168,0.049563997993732,-4.18805377626974
20,-0.0061897573879407895,0.8280001177870497,0.0940101928247496,0.07565881407526835,-3.495531762944744,-2.8696373425162545,-9798.360033493467,-4.051993865312019,0.04950854882382061,-4.010323933786691
