iteration,b0,b1,b2,b3,q,loglik,predicted,var,actual
0,-0.009496880668488633,0.45093041074223317,0.30972721357738264,0.111749818744491,0.5387041075286516,-10049.350113142047,-0.16877879797538603,0.2902045099824196,-0.15909956806534478
1,-0.009768967607437212,0.448374038908814,0.31341557272601644,0.11100961234508745,0.5379654320055292,-10048.47382423061,-0.08665055208843139,0.28940922023515303,-0.11828850313354713
2,-0.009748692183180072,0.4473600919630486,0.31460805650596846,0.11097703661844846,0.5377411538416905,-10048.282685269261,-0.07673697499295108,0.2891675109606828,0.3136777727276629
3,-0.00988038621664123,0.45183279683389316,0.30995310268860216,0.11150271470835275,0.5367860970255512,-10047.435413561821,0.08697506535006438,0.28814325546180636,0.40353050062797424
4,-0.008301048475233547,0.4528990656719233,0.3122683753411851,0.10839087259212632,0.535306389820259,-10045.988788669296,0.1415870144856517,0.28655514924321585,0.6625298054127523
5,-0.00762229691642599,0.4550781845452532,0.3106998954523419,0.10804584647173016,0.5356732268782602,-10046.29874844536,0.3162753500562472,0.2869491630005719,1.081406896474945
6,-0.005642999868982363,0.458654783574184,0.30913456322246213,0.106685092726568,0.5365435306430545,-10047.142560194276,0.5770279621462969,0.28788103074710614,0.885151761856846
7,-0.005113248959525224,0.4601059355474548,0.3094607217928022,0.10531597251385141,0.5366271275110654,-10047.19012965774,0.5844932147146998,0.2879708478862491,0.14898347220294395
8,-0.005544210165581306,0.4597100547875942,0.30672734014868397,0.10772923497539122,0.536745973756987,-10047.442597131507,0.2898559063597829,0.2880983828759495,-0.25333290603719244
9,-0.0075889913920091645,0.46497223801423837,0.29810012077617565,0.11045573655666034,0.5357871764441204,-10046.421525571413,0.08079912715928707,0.2870699149680883,0.1645158400440832
10,-0.006938513105103103,0.46386090443267003,0.3008476980895052,0.10912701114070632,0.5351737735970232,-10045.820487895702,0.20806549853028775,0.2864130609899155,-0.36052287774936637
11,-0.007971375201917992,0.4642732808134036,0.2984742828056118,0.11036642965398816,0.5357457378186627,-10046.36850927265,-0.10111577251488338,0.28702524023900117,0.0928656762567841
12,-0.0075527676306592975,0.46355538848401284,0.2994213682380457,0.1102874133091497,0.5358027117105646,-10046.433132565187,0.024584361186544113,0.2870876279652883,0.033049313023464276
13,-0.006935849054380265,0.46458892694809906,0.29833972976814105,0.11039263841673977,0.5353983334467043,-10046.208757472563,-0.004587567913910493,0.28665368993461576,0.02470707590041144
14,-0.007145714309536252,0.46450331029805103,0.29848376665085186,0.11035501127464731,0.5351295808721909,-10045.82215217572,0.012416669025626895,0.28636547179147487,0.716985107034563
15,-0.00524085814393074,0.46529759570601614,0.2967086348119418,0.11216913180660659,0.5358784640452288,-10046.648146932599,0.3291418978883862,0.2871687932913358,0.030992462409025125
16,-0.006495859035803504,0.46348700940810494,0.30064359039720356,0.1093930655090056,0.5351727818059815,-10045.812689763621,0.0861464876431313,0.28641564728385865,-0.08625084299621098
17,-0.006652330804179015,0.4638734241990452,0.29999014263103485,0.10943031631032293,0.5351887854482297,-10045.848999634296,0.029680630651104996,0.2864289954149274,0.3070908722080746
18,-0.006375295836398513,0.4626676110946272,0.302652168121641,0.10818219670563821,0.535117888114065,-10045.758950608093,0.20693714955883066,0.2863535447496183,0.5529588228576922
19,-0.005965458251110786,0.4627492411060124,0.30376876054968244,0.10749722610284178,0.5351705300482168,-10045.842275352703,0.3431949465470271,0.28640969353484663,0.17056505077134332
20,-0.006488066836875783,0.4624544297603663,0.30360381440651196,0.10755688691954357,0.5352094756519734,-10045.900593728058,0.1559281492985622,0.28645182732021346,0.10192381325542134
21,-0.0063678241027636945,0.4624112953775016,0.3032295650038994,0.10825898699210779,0.5350711350773116,-10045.734965670661,0.13377820602718338,0.28630387917976063,0.12532465491024777
22,-0.006851043500555898,0.46348085805378514,0.3019120276676358,0.10845584492737774,0.5348678130596909,-10045.65675850192,0.15956082700000446,0.28608660343217823,2.031845837377852
23,-0.0025934161534473567,0.45906206147165435,0.3085189842024697,0.11089004018212513,0.5408152295121798,-10051.109380037235,1.0296182107130962,0.2925006058882706,-0.1543020104438252
24,-0.004253535372817355,0.44556868940833827,0.3186804724087717,0.11076779345021434,0.5418037334873702,-10052.064392980366,0.15127013532979092,0.29355398960565543,0.32545104074671255
25,-0.0038849134795792307,0.4451255165598743,0.3194493248506079,0.11068729312266162,0.5418719558938412,-10052.103673104108,0.3388091728376532,0.2936281774186078,-0.28933853295861683
26,-0.005349608175137226,0.4455962707684079,0.31744580388833776,0.11037400116461468,0.5426112688140942,-10052.78307719324,0.07820075680024607,0.2944295193064734,0.7051289323233431
27,-0.003469389763487688,0.443892444555242,0.3195391973095941,0.11161503138088835,0.5430426228873788,-10053.302784443504,0.4868501587972771,0.2949026899590923,-0.20670699095844997
28,-0.005080132884714638,0.4415019177735515,0.32117566182481067,0.10979811548893764,0.5436656868657417,-10053.803134886643,-0.018941593573860854,0.29557481871073366,-0.5321046652253781
29,-0.005872460825893994,0.44214880710604226,0.3215472604151021,0.10741431791697514,0.5439693676605957,-10054.185627169625,-0.1751161505762197,0.29590857369024764,-0.1681627470932147
30,-0.006670884832770204,0.4456418720715476,0.31909955152708497,0.1058829502453064,0.5430967571084961,-10053.204412928864,-0.08356986728560442,0.2949576898129078,0.2028925628311736
31,-0.005688244280161247,0.4438523312407109,0.32012241872777963,0.10770508369350043,0.5427779347855297,-10052.917519871113,0.09220005282565347,0.29461011804330006,0.5790840982894949
32,-0.004171825145321616,0.44440328204875135,0.318966310501995,0.109351038202046,0.5428356948881103,-10053.075842057122,0.22486671605177602,0.2946730860391964,0.47341970966827907
33,-0.003182210082992281,0.4461745685501385,0.3162825844714956,0.11055006606586544,0.5427619542569124,-10053.17969916127,0.24365076335361863,0.2945924701559813,0.7492663749872959
34,-0.002730302494679909,0.4491827726213358,0.3141717602190819,0.11077695641851794,0.5422228849057754,-10052.403274351316,0.44434490236647484,0.29400794020572485,0.26960134046762074
35,-0.002757817198755876,0.44895011802806983,0.31404352253414314,0.11059568261667972,0.5421054425120362,-10052.364585168587,0.2994511635038505,0.2938826457148,-0.1266230258646871
36,-0.0033982759861356142,0.4491582443078882,0.3127438287593546,0.11052863250729071,0.542341876131595,-10052.650540152801,0.1266167350734323,0.29413959868383616,0.3588047590714447
37,-0.0033554059416692275,0.4500668274082596,0.3118366975342908,0.11135423724202942,0.541921048381896,-10052.101291123681,0.288800511944925,0.293682023325262,-0.14892672812069158
38,-0.00370308274592208,0.45067464492316045,0.3109280340805458,0.11054207122623616,0.5417810700301062,-10052.109801359791,0.05333999707338665,0.2935291752001515,-0.5098132530528604
39,-0.005063287822754272,0.4527932190455112,0.30794585306016264,0.11051467424622692,0.5421971625572485,-10052.393581092114,-0.1763936051097476,0.293980807108232,-0.7720075929201069
40,-0.00603738871770918,0.4549634737677813,0.307161508784779,0.10812542622108906,0.5427586153607687,-10052.969753643483,-0.3586225048180819,0.294589324808944,-0.4648404152058198
41,-0.005696021065482583,0.4558847071290977,0.3064849369567588,0.1076972393827374,0.5424943928865952,-10052.938224503454,-0.27277508644635556,0.29430282553679776,-0.7581210647209126
42,-0.006932679402063362,0.45771212477526135,0.3050893624232772,0.10723668902117559,0.5426975870945214,-10052.918138567025,-0.4704668775852019,0.29452324867605545,-0.0985233579365345
43,-0.005618794880185591,0.4573300050422544,0.3030940165444803,0.10957427686300236,0.5426392181143457,-10053.072288634185,-0.2134476406395562,0.2944615679077145,0.33098758049774857
44,-0.004409390321094118,0.4584701971247541,0.2968113517806251,0.11537426723469596,0.543038435906814,-10053.38672320003,0.016142437271997986,0.2948930381267257,-0.21986406845143341
45,-0.00452789838246228,0.457447717561329,0.2975420855954062,0.11539335625243244,0.5430741436870229,-10053.534197734472,-0.17365172071561957,0.2949311042390066,-0.3722340457101902
46,-0.004863738181055866,0.4570655810620935,0.29680028018809024,0.1166950097296705,0.5430082809650258,-10053.385798700801,-0.22725769143886568,0.29486099681964856,-0.6509091855217848
47,-0.005647024215757926,0.4576679602526544,0.29565584378891535,0.11743095880057633,0.5432615479319121,-10053.557836989896,-0.3345354308792932,0.29513539242520714,-0.5532494734881866
48,-0.0052174719310509,0.4594042544948366,0.29358581331278744,0.11778651952459238,0.5426606250550838,-10053.524961522737,-0.329420993705716,0.2944827075304192,-1.2481463221255882
49,-0.00760901565046045,0.4611332603102748,0.2918186208430141,0.11942010218381777,0.5431236368636982,-10053.344699289946,-0.7199620919210016,0.29498742830138264,-0.6230041310480748
50,-0.007330475021079806,0.46058547526918897,0.2912020335848048,0.12056010568632014,0.5431100006887087,-10053.32742570168,-0.5058231302036759,0.2949709257009173,-0.5916796688180364
51,-0.007410012193652166,0.4599817973285276,0.29206667975456047,0.12057333277619105,0.5430590868545324,-10053.272447431584,-0.5089031039284034,0.2949158923897505,-0.2628725600277945
52,-0.0064650910290022096,0.4585185385516254,0.292320850000658,0.12159112094729266,0.5426285575522238,-10053.133745404773,-0.3556936270828168,0.2944481619324729,-0.1691930756742294
53,-0.0073148383711786474,0.45673577111479235,0.2997956232376971,0.11687376216728396,0.5383804691592968,-10048.847476135608,-0.30203541056723154,0.28985506469112016,-0.7186149218349513
54,-0.008026642310993048,0.45615888775868635,0.3019016184485179,0.11597695351819315,0.5387108000438513,-10049.143944466237,-0.48563481988723567,0.2902118146675722,-1.0994269113831132
55,-0.00989146170954864,0.45920728154483037,0.3008162600272596,0.11521483097123038,0.5387892210386747,-10049.408917774665,-0.6785661781427299,0.29029603738103377,-1.085474655535022
56,-0.010599891930367965,0.45965623452387827,0.3012533051595095,0.11578211490811163,0.5388325938448604,-10049.363029683298,-0.7210820878812528,0.29034278913055944,1.1013339602243302
57,-0.006964116920222033,0.4518265616211359,0.30291526105220323,0.11619099181867226,0.5445126082403227,-10054.491594213141,0.21177341077161035,0.29651775394034297,-0.5065050973632279
58,-0.008432604062710871,0.44385973015482666,0.3113058765990826,0.11722794369993947,0.545391257388731,-10055.303456350803,-0.4201213531351318,0.2974555654157666,-1.3859650233575254
59,-0.010142859032524211,0.443967559138315,0.312539928912825,0.11881777018359466,0.5468118832909612,-10056.58957153858,-0.8044820789204143,0.2990067330505958,-0.3623427973451547
60,-0.009112076022878262,0.4415942887406604,0.3136106152541233,0.11845214875760582,0.5470788731992411,-10056.81469876753,-0.3775052085767043,0.29929898061393373,-0.645660314838905
61,-0.009760966858448529,0.441686614233634,0.31374801123414464,0.11907746703706296,0.547122761939633,-10056.857805851078,-0.4510182990388669,0.2993456339992767,-0.2007033307724549
62,-0.008764459744112557,0.4418868972006529,0.3140878849169635,0.11785968054644802,0.5469028227376249,-10056.729343668781,-0.3770924802334679,0.2991045170608088,-1.071396369611942
63,-0.010726535212219036,0.4429299165571914,0.3145203266370878,0.11859063504136191,0.5471849803834046,-10056.971302074155,-0.7417849768180821,0.2994146828066103,-0.7731374986058422
64,-0.010614316070692903,0.4408526115540058,0.3179988680700916,0.11732935881958985,0.5467963666116045,-10056.590577997702,-0.5889982177332771,0.2989882583756371,-0.8584526004834186
65,-0.010212294433549094,0.4431772955500113,0.31786796453877586,0.11600527953947627,0.545639006842737,-10055.65422165923,-0.6619327066282028,0.29772433496399653,-0.6580120423983683
66,-0.010390618317037869,0.4416127806979076,0.32018520022248714,0.11542164999115272,0.5454096519683054,-10055.340593572917,-0.5971890194810915,0.29747871684486377,-1.0445508563619583
67,-0.01161187586387391,0.4414783832549018,0.32243803561568873,0.11560735356910465,0.5451545445833298,-10055.067674545162,-0.8074373051392321,0.29719546816609027,-1.6055610422165016
68,-0.012624455358878045,0.4443234977520558,0.32243486203596605,0.11634251242508276,0.5461844302118228,-10056.0657397561,-1.0637102308988498,0.2983201015848674,-0.8144047361257964
69,-0.012496722610084953,0.440826425990021,0.32582977461817836,0.11563539738019941,0.5456145320757493,-10055.510080287626,-0.7802676885171065,0.2976974323963725,0.028190688159342343
70,-0.012143910331335273,0.44559143405168666,0.3171627302872811,0.11626244904523395,0.5453381049713948,-10055.566746670976,-0.398292704367542,0.297395988608982,-0.25978118229861497
71,-0.011035221580309732,0.44689108652413345,0.31763495787333285,0.11373656962598859,0.5438409316842464,-10053.856062963154,-0.4663187900605147,0.29576592997714646,0.4017616882399026
72,-0.009727316480530534,0.4497606981488784,0.3123923335596207,0.11269508863128241,0.5451523180302706,-10055.077973017465,-0.10462273104596362,0.29719318422986807,-0.2586527359188132
73,-0.009660131870304709,0.4485215442130744,0.3148307115447806,0.11182983931616398,0.5449174361402718,-10054.84101282151,-0.2510231148382688,0.29693700850234306,-0.38485657769797676
74,-0.010163977956076955,0.44911405064682464,0.313463493696821,0.11317826775686021,0.5448926119512778,-10054.842555074258,-0.2691600025788885,0.2969102985852253,-0.6986827717127578
75,-0.010308904617309626,0.44986540172659695,0.3137115739429678,0.11315185963910096,0.5444319530422991,-10054.445841714241,-0.4418366018275551,0.2964081455283382,-0.507428630087873
76,-0.010489662589109277,0.4497426012519741,0.3133017414866469,0.11419500137153756,0.5444304801936717,-10054.418244095283,-0.38788238711895034,0.29640695959285346,0.13951329581299027
77,-0.00940926199705261,0.4486583332104576,0.3151697584194339,0.11176877551193061,0.5447997260801174,-10054.79122772047,-0.15660347160101973,0.2968089187879318,0.04658143911206881
78,-0.008905052801590782,0.44871509441931445,0.31449012007010047,0.11216459551781294,0.5447334520984477,-10054.753108387593,-0.16094071547915179,0.2967369035021048,-0.2259025764260225
79,-0.008919351506726337,0.44780266412253517,0.3140992614871683,0.11410332693669388,0.5445895920749266,-10054.630760329206,-0.2599777202219251,0.2965824869956172,0.4467170908102498
80,-0.008606285422543901,0.45384482945196614,0.3067948714893575,0.11420290842126501,0.5442679691095796,-10054.421207991672,0.08099788950006406,0.2962297255374855,0.284757588815123
81,-0.007390779061507931,0.45739336710460426,0.3060726510583266,0.11020953086510482,0.5425933124796333,-10052.732009157606,0.0910154755170123,0.2944096798146931,0.7109887725572094
82,-0.005998533262129622,0.45772525815168286,0.30886296925453766,0.10618126043003481,0.5430473559687301,-10053.226552332753,0.30452934795793796,0.29490281866838575,0.19823598614318746
83,-0.006251577029844045,0.45478722572783026,0.3109818200168809,0.10770769406606581,0.5425390830994472,-10052.741334780892,0.12450926227621514,0.2943509372989482,-0.2118444411165552
84,-0.007409361618979432,0.4525436854232503,0.31262073066454904,0.10903820018854182,0.5420368260762058,-10052.233219788308,-0.02985183768902442,0.29380663552523084,0.7793975879189482
85,-0.006908107114660878,0.4541577815930168,0.316315070849851,0.10229820738922006,0.541894843216916,-10052.531045067355,0.38242588566424707,0.2936535409838756,-0.09032510167940452
86,-0.007134315918506457,0.4545885739182204,0.31225011038475053,0.10672571831866637,0.5410101296582264,-10051.299512227997,0.029616918102191334,0.2926941030945442,-0.4981431606008536
87,-0.008048843015941515,0.45559955621837,0.30876608583589543,0.1097193781034843,0.5414874236986209,-10051.763728349759,-0.21125075842547295,0.2932108088048997,-0.8096019594899904
88,-0.010526971822203648,0.4636574383742992,0.29986268711131864,0.11134630742727276,0.5397886232270623,-10050.762713117312,-0.41066960407759345,0.2913745987320945,-0.9569922154269819
89,-0.010801181280504763,0.465089348557006,0.3001667617167547,0.11119307634077302,0.5388545755753323,-10049.356892441192,-0.5200368893186507,0.2903665069432695,-0.47561274375725393
90,-0.011174968187804307,0.46521613652849647,0.2998357395869748,0.11127314320112386,0.5386323962186901,-10049.317634015695,-0.4110984339661865,0.2901267122236808,-0.8126279325214633
91,-0.01194542746582324,0.46408840121106815,0.30214806785855186,0.11063149947698964,0.538577512758911,-10049.188292904415,-0.5934716349130579,0.29006822009652167,-0.2760022874718607
92,-0.011200667428009202,0.46350283719852536,0.29974845428239705,0.1134192744467144,0.5386704545667116,-10049.166045279902,-0.3689034635511196,0.2901685871136125,-0.9269149166909167
93,-0.011873644527570872,0.4641719839441871,0.30145806704457956,0.11168618165156019,0.5391303265904637,-10049.559086080215,-0.6365745716250556,0.2906640467855497,-1.0564550595704296
94,-0.01349447531908022,0.46598053604064105,0.3036686672061887,0.10803465173009655,0.5383793898885754,-10049.028972361817,-0.7078364651001617,0.2898550555187596,0.38607775945187284
95,-0.012127353752940682,0.46234235958745984,0.3009695412444364,0.11228883362875178,0.5401842004834664,-10051.018540774287,-0.07970589626223368,0.2918060439296355,-0.442947974352514
96,-0.012460303753700077,0.45962266146439296,0.30247380362513876,0.11457594909575695,0.5398871847424379,-10050.391450914587,-0.37577752140925547,0.291480262162915,-0.5079068940712997
97,-0.012762385129094209,0.4597971374061468,0.301630747260845,0.11555885763850063,0.5399118043591343,-10050.388298999098,-0.4155014683561778,0.29150714842329806,-0.26166711633173334
98,-0.012585865582496969,0.4597168405017034,0.30040617700223865,0.116774807038419,0.5399668989166517,-10050.442140088177,-0.273039939468415,0.29156780357432577,-0.7210203717822969
