iteration,b0,b1,b2,b3,q,loglik,predicted,var,actual
23,0.02462639863035667,0.5469288129344794,0.3491885278934461,0.05047960532844376,0.48035488871106247,-9993.726438028274,-0.35774071287927367,0.2307442444116278,-1.297585423468687
24,0.019581906093540026,0.5504744343660484,0.3463511802107755,0.053301338890682455,0.48133506095824663,-9993.580872252667,-0.8332430392142431,0.2316862357847692,-1.4368352859768119
25,0.019081105398640944,0.5596893827398066,0.33489172959067565,0.056949451806707706,0.48040829605335933,-9993.452285824307,-1.0075408342780248,0.2307959707910872,-0.6235207479485683
26,0.019164990498494752,0.5543040813825867,0.3397459347527972,0.057105233573262304,0.4803364727255336,-9992.64271431316,-0.6479810154912151,0.23072721874701702,-1.0126781844785133
27,0.018128229648030632,0.5534702343454377,0.3412396997919179,0.05756387456936438,0.4802084630841428,-9992.640298158087,-0.889973861132687,0.23060483676737822,-1.2608140037778066
28,0.015898630732452984,0.5524476009804342,0.34527484341397524,0.05605591708435055,0.4799548710505702,-9991.878898849625,-1.0753931512350663,0.23035965325244334,-0.5682405716844631
29,0.017983436974030313,0.5525576233153926,0.340417010865604,0.05934430285628586,0.48021070172268954,-9992.339404081966,-0.6852264466889378,0.2306078469020153,-1.1582444688052445
30,0.015224352833352868,0.5490293924141678,0.34939408470280653,0.055564029606820546,0.47966918237742495,-9991.351665499431,-0.9463528489605926,0.2300886438915966,-0.5921832063421094
31,0.01671809689180497,0.5475243432430357,0.34984879471957425,0.055520184993098624,0.47972670258924516,-9991.51376478675,-0.6791159839395574,0.23014151574085356,-0.0029953325328140067
32,0.019796313422864368,0.5481997677713253,0.34653534764415883,0.056192623748164736,0.47996826063460696,-9992.176106053903,-0.31531866149976695,0.23037497822934755,-0.271940361880729
33,0.01859939653331972,0.5550022284867386,0.3360894876101026,0.06028540477593808,0.47981294898985183,-9991.626202782447,-0.35354854507579087,0.23022395235652526,0.03801273191456396
34,0.020641522867767714,0.5507124028212158,0.3437611360699113,0.05552681237274404,0.4790093443978967,-9991.201360759993,-0.15869465812247677,0.22945404214442286,0.5796334173270794
35,0.02460036333042395,0.5606910929173474,0.3287833487759255,0.058575365889304086,0.47810047510127995,-9990.710316967494,0.248996017076381,0.22858779418229758,0.46765057235251845
36,0.024966452153747383,0.5594092677484199,0.3309707632566225,0.05759389514831155,0.4775944316484281,-9990.117427652076,0.2819063902257394,0.22810034249498734,0.21096928069922433
37,0.024995488997652422,0.5540241313391432,0.3376740598672329,0.05672741153780603,0.47544136347788396,-9988.525803326465,0.18009873575021415,0.22604746955971278,-0.5100269394658928
38,0.02036385304974874,0.5480032644976693,0.3478168340712128,0.054506691469504445,0.4717493606641205,-9982.952370043071,-0.17634318010768324,0.22255267465623838,0.9046726667649791
39,0.023819930987233034,0.5413658618812925,0.35972577946972406,0.046457528425608394,0.47420877382023463,-9985.530475275282,0.5544228312839985,0.2248777563933272,1.1007529548065598
40,0.024805665990968104,0.5448546478224565,0.36021899394658874,0.04140692688028863,0.47448842015160153,-9985.924322577614,0.6990073526956011,0.22514451487319198,0.38420885961642914
41,0.0241896563447251,0.5431336289344246,0.3592787579853415,0.044711641158396445,0.4746574110927959,-9986.03507921216,0.36371323270293926,0.2253026209625514,0.21280254372482255
42,0.024561193268507833,0.546773653929808,0.3537948604333254,0.04701497980168981,0.47396037891317183,-9985.608990565255,0.28486911366880296,0.22464637553491532,-0.27671781750958374
43,0.022059776041485096,0.5465320935292421,0.3535906850965356,0.04801710861927831,0.47349051205331655,-9984.782859499897,0.07753833156113266,0.22420093890445236,-0.1300798748281066
44,0.020513711678474707,0.5515666222994215,0.34557338414078387,0.05166575050559608,0.4730529069542781,-9984.51428247168,0.05014891840777634,0.22378542275686486,-1.3435186475521979
