iteration,b0,b1,b2,b3,q,h,loglik,predicted,var,actual
0,0.012388345733027939,0.4958424499828705,0.4178981407212619,0.02968632693502546,0.4578986015051516,0.478928910287302,-32517.36796927896,-0.445396380350774,0.2414356918272492,-0.8764780233116625
1,0.012093146956308046,0.49568048684800636,0.41913523442240785,0.030540826681778745,0.4581610754056067,0.478928910287302,-32517.777587232253,-0.5979846286351583,0.2416500072625821,-0.6913890649513041
2,0.013481023489072333,0.4944445011616325,0.4213979759152324,0.030478987665146957,0.45740887791455914,0.478928910287302,-32517.46339412948,-0.6204160973514414,0.24096768428175072,-0.5841603180530447
3,0.013229529157251663,0.49565162414944197,0.42023555957654235,0.03009816477627255,0.457704520885536,0.478928910287302,-32517.796266351714,-0.6148872143859934,0.24122183987652068,-0.317655632933634
4,0.014584444788523002,0.49936323241885444,0.4174879392762709,0.027874141827194072,0.4574597263954624,0.478928910287302,-32517.67206610312,-0.4268371645014708,0.2409411346503441,-0.5470357502199757
5,0.01456588314164556,0.4962485862695458,0.42400428750016506,0.023678810956548044,0.4569608824684507,0.478928910287302,-32517.19907362361,-0.5218173775120485,0.24054308363424182,-0.5346979846048283
6,0.01693529194494342,0.4947524756872626,0.4271998737969529,0.021530734922149644,0.45522863727452345,0.478928910287302,-32516.481339321785,-0.48590676951373885,0.23898479011016385,-0.7676911889944399
7,0.011291357481203912,0.5147310633564477,0.4041119564200838,0.02428780845609516,0.4528684252467664,0.478928910287302,-32512.636291644958,-0.6067124572535973,0.23648944051333778,-0.23816616661718581
8,0.016027123959805527,0.5122274767218806,0.40883032781021,0.02219582002931824,0.4487676438787793,0.478928910287302,-32509.16139909423,-0.336314441651862,0.23281495379424075,-1.0013642577107764
9,0.015390541407801016,0.512669451687368,0.40777733369042035,0.024694969172234855,0.44969270544044454,0.478928910287302,-32510.262520532535,-0.7437857032356135,0.23362109480677629,-0.6086329937893675
10,0.017654495890172234,0.514794955188209,0.40268588263659494,0.02684769264220608,0.4487115025830688,0.478928910287302,-32510.01198229523,-0.5782486504601756,0.23271746638086468,-0.9507975011398189
11,0.01573354294906522,0.512178255532517,0.40609901104166035,0.027443309072695814,0.4489252072616841,0.478928910287302,-32509.629026241295,-0.7701476615854429,0.23293370564716115,0.08077608145846166
12,0.018172267584114242,0.5113086959456746,0.4030337835883832,0.028224940317570873,0.4506738697140541,0.478928910287302,-32511.485245218755,-0.22045627612409274,0.2345794212981407,0.22540661185991026
13,0.020075420853870745,0.5164950888868127,0.3944798888238058,0.03043931685347015,0.45107291347383793,0.478928910287302,-32512.04599666172,-0.08969327255798279,0.23487619216648292,-0.25333980754888635
14,0.020855742553804003,0.5174039850864446,0.38839786609199883,0.03643664537941539,0.4506981042264352,0.478928910287302,-32512.119374215166,-0.2394893055077021,0.2345307640475516,-0.6257652451340099
15,0.01986580257082298,0.5145787304792131,0.3886303509994789,0.040590190464519,0.4507465137721005,0.478928910287302,-32512.056406444615,-0.4238297154895375,0.23461531088250787,-0.05391905974673643
16,0.020561154919190715,0.5132452876229209,0.38784312514744185,0.04167944363911793,0.45140376669770144,0.478928910287302,-32512.567324386273,-0.09187628017879668,0.2352616521296445,0.3653249331794287
17,0.02352722434607887,0.5164525778128772,0.3813739333682838,0.043207839473901166,0.4511470576239984,0.478928910287302,-32512.979475008593,0.13435720899003886,0.23500522677989563,0.020627145131045705
18,0.022747170858626153,0.5155644023592312,0.3779016724594164,0.048234593738075336,0.4515647461988984,0.478928910287302,-32513.081358336636,-0.03517077710774097,0.23540848453854424,-0.11393422845125152
19,0.023613800744340163,0.5185020893686657,0.36835706596672163,0.05493345036538345,0.45107028105960745,0.478928910287302,-32513.002126190797,-0.09067420217162403,0.2349466837149721,-0.24974223953186125
20,0.021148547393341724,0.5147340409705292,0.3721380328931558,0.05702086667762886,0.4510240767838337,0.478928910287302,-32511.955987094992,-0.12883037563226496,0.234947609771966,-0.30542843443129164
