iteration,b0,b1,b2,b3,q,loglik,predicted,var,actual
0,0.013864905798506688,0.44679789323660396,0.44422781373116893,0.07800079798721819,0.4919340913678337,-5002.023818845831,-0.4286809413433091,0.2420036082035729,-0.8764780233116625
1,0.005337056450593319,0.4398946516947595,0.4521967864785828,0.08175741680147582,0.49159456415481084,-5001.869869947625,-0.5568267903941487,0.24166757516213638,-0.6913890649513041
2,-0.001194710724330025,0.4308805921079296,0.46105329778653814,0.0849304381717112,0.48819797239749807,-5000.417473678975,-0.6176573297915412,0.23834022998106288,-0.5841603180530447
3,-0.002558770921056504,0.422609470875592,0.46941331296436384,0.0850959479342157,0.4872993118380493,-5000.151459327496,-0.6413725100769411,0.2374640603933353,-0.317655632933634
4,-0.0037433107203356086,0.41363861284786496,0.47038075110783745,0.09199269408749336,0.4823612864234789,-4998.184300906927,-0.48830345423921984,0.23267515691118654,-0.5470357502199757
5,-0.0062956619877665605,0.42226497039484057,0.45383738403905016,0.10049067146617009,0.48169526996737444,-4998.112936298713,-0.5587776186423934,0.23203430129586175,-0.5346979846048283
6,-0.00036411019624308066,0.4186466846504043,0.4773056156059664,0.07829471248804329,0.4801366786050281,-4996.868586295664,-0.5156216749588018,0.23053448670249457,-0.7676911889944399
7,-0.002474423631146864,0.427695555989398,0.4707735906431058,0.07644630952729922,0.479253561447524,-4996.66284515757,-0.6018370588827068,0.22968605926881996,-0.23816616661718581
8,0.012297993713320732,0.41085943742928044,0.521399528059312,0.03540717376801791,0.473497398704251,-4992.613221984119,-0.3858523724815751,0.22420210285763656,-1.0013642577107764
9,0.00801922461177936,0.4104994729675786,0.5278937562047016,0.03287956310852429,0.47434516294938656,-4992.997390685077,-0.6942500432566859,0.22500656037284086,-0.6086329937893675
10,0.006535765338393188,0.40432574129614474,0.5397380542993242,0.026400185652078304,0.4710916708977211,-4991.790400005457,-0.5957739416629413,0.22193043549661956,-0.9507975011398189
11,0.0024336260152631253,0.4028406644140551,0.5426101657231766,0.027479007457755895,0.47162593888784105,-4992.155602108885,-0.7477600646065327,0.22243305413137654,0.08077608145846166
12,0.0112856553949696,0.39747236990214063,0.5443180996209356,0.02497847909505596,0.47441674433325803,-4993.68370529001,-0.349226655151595,0.22507431978169637,0.22540661185991026
13,0.016584146406213775,0.40210940353267743,0.5360812088363146,0.02515909077501328,0.47518538338897937,-4994.225325580591,-0.23676030574835558,0.22580390307265988,-0.25333980754888635
14,0.008945847006885346,0.4462310604046311,0.47182533420668343,0.04727481868887985,0.4663749321973352,-4990.9781894442285,-0.276430225299126,0.21750910612029523,-0.6257652451340099
15,0.013132952973411223,0.43919413221533954,0.5013353081289996,0.023919473393528155,0.4619629098456719,-4987.00113162834,-0.38692368367614666,0.21341406713156788,-0.05391905974673643
16,0.015406410687225074,0.43157904403111985,0.5094142253864102,0.020784762689443903,0.4612199631627053,-4987.006332812205,-0.09249784150001929,0.21273248643838447,0.3653249331794287
17,0.01937768750251318,0.4210732218997416,0.5236438977672174,0.013051315451702912,0.46087132988712265,-4987.257192612642,0.07359148938646892,0.21240807861241603,0.020627145131045705
