iteration,b0,b1,b2,b3,q,h,loglik,predicted,var,actual
0,-0.025794422834529353,0.25561418526007773,0.2227693377448619,-0.14206391449137692,-0.3527562084640514,2.383440212435953,-32517.30721605323,-0.4824091534422812,0.24166168854495967,-0.8764780233116625
1,-0.01980141242353644,-0.9500065232865134,1.0457209582082205,-0.9217235014534284,6.26019787348583e-07,1.6801736833816014,-32523.08541690482,-0.7452133427343595,0.24908601126369145,-0.6913890649513041
2,-0.024810313051180005,0.1611133024993715,-0.03778891530094891,-0.41110343797656146,-0.33033070475687054,2.3316551988204672,-32517.90128454019,-0.6269875698359816,0.2422686163447612,-0.5841603180530447
3,-0.003134301339785547,-0.9206510124777412,-1.8925862871348498,-2.9292825561908566,-3.647466933700721e-06,1.6943924547429683,-32521.213234051753,-0.5787523451510527,0.2448731967365509,-0.317655632933634
4,0.015320183498389626,-0.841128000680113,1.8757515267440115,-0.64957370455818,-0.015551238465112504,1.716683268186955,-32520.6052776009,-0.3826311330611043,0.2455723240131427,-0.5470357502199757
5,0.03064027992025762,-0.9337847786332607,-1.9034951817226755,-2.991332192050558,1.0957580167692079e-06,1.6932766652248064,-32522.04564447205,-0.49698952710894534,0.24520404296634365,-0.5346979846048283
6,-0.07943743136051928,-0.5247710250576877,0.17317166637369302,-0.7916053874543982,0.11314737899540185,1.8296006045710502,-32515.530820194097,-0.5122160614825452,0.24143577252787002,-0.7676911889944399
7,-0.018548334454324276,0.27593793835486297,0.07673409573497322,-0.39054963190257863,0.3450006305676248,2.401201524317237,-32511.243878021185,-0.6166596843663372,0.2352185355739782,-0.23816616661718581
8,-0.7542535562249413,0.2427387802546624,0.13345971349481633,-0.28361883584676006,-0.3433348515785182,2.419124130152662,-32506.753219802205,-0.3795396846907502,0.23162560296439147,-1.0013642577107764
9,-0.03556082395272287,0.12090032860513261,-0.1673759648671554,-0.8869200080271634,-0.3106439243165985,2.3133994360951746,-32510.099740097336,-0.7372889931785502,0.2345894824272215,-0.6086329937893675
10,0.1632689604519244,0.03592974508446693,-0.3152779522956943,-1.2291397981379775,-0.2907082498507647,2.252457293793471,-32511.51904774721,-0.5975726311034015,0.2360696875141023,-0.9507975011398189
11,-1.4909451464337462,-0.9759303581931744,0.7620087550168859,-0.622057056659197,7.939582792560873e-10,1.70750094821289,-32514.659289632444,-0.8381777281684868,0.24102374415763475,0.08077608145846166
12,-0.028321183951313417,0.12317713511747372,-0.148755145064917,-0.8755067755390968,0.31204040241702213,2.3121597938387826,-32511.081320573994,-0.28147903010200354,0.23549256896762152,0.22540661185991026
13,-1.7298552020850568,-0.9701837713972246,0.5424564532965908,-0.8060438715855504,1.911459249316662e-09,1.7031841701773716,-32516.132115927194,0.06344971955244594,0.24228777726225692,-0.25333980754888635
14,0.08696243130068419,0.0841519610305821,-0.2053461736180127,-1.0518728041647072,-0.30100226807368863,2.2637934497197514,-32513.753916069756,-0.20141575409973456,0.2380447730752111,-0.6257652451340099
15,-0.9681964388551143,0.20344702039947546,0.01682665681766113,-0.38633672983958417,0.3390920018655579,2.409175182293083,-32509.381094185075,-0.44150895352389313,0.23405786642525064,-0.05391905974673643
16,-0.8554870093721688,-0.3310606566509732,-2.527999443923826,-0.9848819902411138,6.240771500912085e-09,1.697999163612038,-32519.18130913452,-0.16378850897808775,0.24382380767731365,0.3653249331794287
17,-1.1166203840479625,0.15467216978707957,-0.10147607285675572,-0.5591576393717979,-0.32900369012312214,2.3863608475005287,-32509.676353253282,0.06314649453397791,0.23433588783214437,0.020627145131045705
18,-1.8816789403084897,-0.9677398691697775,0.04813690154536063,-1.0132016263899195,-3.167791910789602e-09,1.6996798552312398,-32517.509084501013,0.02182631918983924,0.2433159152475665,-0.11393422845125152
19,-0.13720703040325083,0.06009242033767581,-0.3750147674184343,-1.3790159638606538,-0.306738224139337,2.3344408789169404,-32511.258584367843,-0.05230471880280391,0.2349627121345403,-0.24974223953186125
20,0.027114636774405558,0.5529447843716049,0.3467885977118944,0.04418501302232837,-0.48345642813376244,8.82712327656338,-32511.27097488178,-0.11602812459374363,0.23373892580538172,-0.30542843443129164
21,0.001189097173821783,-0.011075498285339627,-0.5159165781141091,-1.8320656428949682,-0.29059422627856457,2.2973489615147313,-32510.33595127012,-0.2397968168316108,0.23404851962324164,-0.3260560158957456
22,-0.0028054589161579024,-0.9494737830860224,-0.8956800882051398,-1.6953076289429134,8.82554637238503e-07,1.6988200054390297,-32516.968931933694,-0.2926758430967768,0.24356669027329259,-0.5050929420304483
23,0.005131084676383584,0.13778641191027904,-0.2163238719259438,-0.9289675684120144,-0.3281568353242764,2.419531228098151,-32507.919885028554,-0.3817189348894182,0.232269398585248,-1.297585423468687
24,-0.29578187650011223,0.24180135167732977,-0.012691671826271036,-0.48636024610538764,-0.348897106582614,2.4754641806335873,-32506.57610171808,-0.8450382182676788,0.2314745871709579,-1.4368352859768119
25,-0.011096077328430556,0.21107024776634187,-0.11240905942032875,-0.701685739283691,0.33948332481208543,2.443244301009864,-32507.89117779491,-1.042165682655324,0.23224424731820678,-0.6235207479485683
26,0.14280901827474146,0.21330596636615884,-0.09030998332898399,-0.698365543158703,-0.3413529554439654,2.452420884134299,-32507.151062663415,-0.6943037081956983,0.23197690080744363,-1.0126781844785133
