iteration,b0,b1,b2,b3,q,h,loglik,predicted,var,actual
0,-0.15209959110814064,0.428511725682046,0.36548796120224625,0.05427563324745611,0.4601748148743875,0.478928910287302,-78841.66743549223,-0.44255355419616516,0.2513046862697288,-0.8764780233116625
1,-0.15212626409307656,0.42873983302889723,0.3641320308480293,0.05724293056642585,0.46047639380475563,0.478928910287302,-78842.11021482787,-0.5878185929033031,0.2515675878621811,-0.6913890649513041
2,-0.14346727749414928,0.43098393992023853,0.36126255676484076,0.06342484707351541,0.4605833306314836,0.478928910287302,-78842.14781382338,-0.607324954456732,0.2515513843737785,-0.5841603180530447
3,-0.14156947318394114,0.43051997179940915,0.3607828205912581,0.0663566044804675,0.4605248550830032,0.478928910287302,-78841.84693629819,-0.5976297794646328,0.25149398080084995,-0.317655632933634
4,-0.13274412146565734,0.430907917505467,0.3593082144618479,0.07221715531681269,0.4603682074397888,0.478928910287302,-78841.52744098323,-0.4269915464228408,0.25129035761054036,-0.5470357502199757
5,-0.13335740219540465,0.42792177688629957,0.3608024722901435,0.07522574140362122,0.46003346871876893,0.478928910287302,-78840.74235564732,-0.5142175708467808,0.2510486290490515,-0.5346979846048283
6,-0.1324870814611554,0.4277926367600048,0.35957441695852066,0.07823422075195574,0.46009898766864965,0.478928910287302,-78840.78716045157,-0.48718258066283665,0.25110861571543386,-0.7676911889944399
7,-0.13019948378101628,0.42833029803850775,0.3592564842153861,0.082204249498465,0.4602742445291974,0.478928910287302,-78840.84624055511,-0.5964667350148093,0.2512030141990115,-0.23816616661718581
8,-0.12575230617431382,0.4294412578365151,0.3565883088926474,0.08625119199703024,0.4604567349865279,0.478928910287302,-78841.08663591676,-0.35924864064742795,0.25133810118370925,-1.0013642577107764
9,-0.11265692597153022,0.4286191359267045,0.36038868601912444,0.0950047262162996,0.46060206138208654,0.478928910287302,-78841.10581747447,-0.7204371484905271,0.2513123507226306,-0.6086329937893675
10,-0.12831092841305194,0.42377116218906064,0.36138881004573714,0.08859210542852773,0.45962954469596506,0.478928910287302,-78839.60838972346,-0.5805074962737214,0.2506943794484004,-0.9507975011398189
11,-0.12021739622182484,0.42472001157617006,0.3626490680083204,0.09296056772412231,0.4598843121605236,0.478928910287302,-78839.86020774634,-0.7478003894688388,0.250799297306689,0.08077608145846166
12,-0.13406860898439943,0.42282447017438307,0.35819218088701654,0.08914497490199388,0.46019123618309077,0.478928910287302,-78840.9023102879,-0.26373316249342704,0.2513399621670537,0.22540661185991026
13,-0.12390980769424842,0.42620035022156805,0.3576933285194367,0.09170939065711137,0.4604999785682977,0.478928910287302,-78841.07975121785,-0.13763079597781663,0.25144345977849414,-0.25333980754888635
14,-0.1165221254377592,0.4263608219430753,0.35851302813954156,0.09604572841912118,0.4605129221139579,0.478928910287302,-78841.00518418406,-0.26119823706938605,0.2513756876742694,-0.6257652451340099
15,-0.11669067572380844,0.42597039297410566,0.3570249496169279,0.09936857504605764,0.460641935751802,0.478928910287302,-78841.20806968151,-0.42629525914833155,0.25151551673099554,-0.05391905974673643
16,-0.10724202307144504,0.4267099165626077,0.35683153599335093,0.10435457315400662,0.4607782914799485,0.478928910287302,-78841.40927515298,-0.1381371616658078,0.25155912810204706,0.3653249331794287
17,-0.1200013295799546,0.42601790285607544,0.3572100816098521,0.09650472975923569,0.46076482288086323,0.478928910287302,-78841.36178762488,0.0667512160551289,0.25165843732751786,0.020627145131045705
18,-0.11074787166318172,0.4286888809613758,0.3533347292894932,0.1041935815748021,0.4608489353495252,0.478928910287302,-78841.29919217512,-0.07095634288141633,0.2516128979196273,-0.11393422845125152
19,-0.11278989566857314,0.4257572729522029,0.35807891253361623,0.10089239054255345,0.46015445665088045,0.478928910287302,-78840.19798881003,-0.11738227094044118,0.2510256911643573,-0.24974223953186125
20,-0.12088898399665518,0.42268117314000336,0.3589363173882302,0.09731454710938585,0.45969971156596906,0.478928910287302,-78839.65276811611,-0.14894871812004778,0.25077578742472006,-0.30542843443129164
21,-0.13548434837586895,0.4214876306241108,0.3565453145846416,0.09139633421128063,0.45926790183515875,0.478928910287302,-78839.26200715172,-0.19674061849607616,0.25056005684438587,-0.3260560158957456
22,-0.15654306118108413,0.42141586830981365,0.35186800931817847,0.08417385116708931,0.45871155240284467,0.478928910287302,-78838.95897756206,-0.264271285537058,0.2502527026905326,-0.5050929420304483
